Year,FIPS,Month,MedianHousePrice,diff_12,train_and_predicted
2000-01,34003,Jan,266953.0,,266953.0
2000-02,34003,Feb,268039.0,,268039.0
2000-03,34003,Mar,269220.0,,269220.0
2000-04,34003,Apr,271467.0,,271467.0
2000-05,34003,May,273734.0,,273734.0
2000-06,34003,Jun,276762.0,,276762.0
2000-07,34003,Jul,279262.0,,279262.0
2000-08,34003,Aug,281767.0,,281767.0
2000-09,34003,Sep,283969.0,,283969.0
2000-10,34003,Oct,286450.0,,286450.0
2000-11,34003,Nov,289207.0,,289207.0
2000-12,34003,Dec,291368.0,,291368.0
2001-01,34003,Jan,293643.0,26690.0,293643.0
2001-02,34003,Feb,295715.0,27676.0,295715.0
2001-03,34003,Mar,297813.0,28593.0,297813.0
2001-04,34003,Apr,300158.0,28691.0,300158.0
2001-05,34003,May,302154.0,28420.0,302154.0
2001-06,34003,Jun,304033.0,27271.0,304033.0
2001-07,34003,Jul,306057.0,26795.0,306057.0
2001-08,34003,Aug,308794.0,27027.0,308794.0
2001-09,34003,Sep,311823.0,27854.0,311823.0
2001-10,34003,Oct,315132.0,28682.0,315132.0
2001-11,34003,Nov,318240.0,29033.0,318240.0
2001-12,34003,Dec,321154.0,29786.0,321154.0
2002-01,34003,Jan,324220.0,30577.0,324220.0
2002-02,34003,Feb,327026.0,31311.0,327026.0
2002-03,34003,Mar,330264.0,32451.0,330264.0
2002-04,34003,Apr,333077.0,32919.0,333077.0
2002-05,34003,May,336138.0,33984.0,336138.0
2002-06,34003,Jun,339422.0,35389.0,339422.0
2002-07,34003,Jul,342982.0,36925.0,342982.0
2002-08,34003,Aug,347875.0,39081.0,347875.0
2002-09,34003,Sep,354175.0,42352.0,354175.0
2002-10,34003,Oct,359620.0,44488.0,359620.0
2002-11,34003,Nov,363383.0,45143.0,363383.0
2002-12,34003,Dec,366479.0,45325.0,366479.0
2003-01,34003,Jan,370354.0,46134.0,370354.0
2003-02,34003,Feb,375164.0,48138.0,375164.0
2003-03,34003,Mar,379098.0,48834.0,379098.0
2003-04,34003,Apr,382919.0,49842.0,382919.0
2003-05,34003,May,386617.0,50479.0,386617.0
2003-06,34003,Jun,390768.0,51346.0,390768.0
2003-07,34003,Jul,395246.0,52264.0,395246.0
2003-08,34003,Aug,399255.0,51380.0,399255.0
2003-09,34003,Sep,402622.0,48447.0,402622.0
2003-10,34003,Oct,405764.0,46144.0,405764.0
2003-11,34003,Nov,408711.0,45328.0,408711.0
2003-12,34003,Dec,411591.0,45112.0,411591.0
2004-01,34003,Jan,414792.0,44438.0,414792.0
2004-02,34003,Feb,418017.0,42853.0,418017.0
2004-03,34003,Mar,422613.0,43515.0,422613.0
2004-04,34003,Apr,426454.0,43535.0,426454.0
2004-05,34003,May,432217.0,45600.0,432217.0
2004-06,34003,Jun,437842.0,47074.0,437842.0
2004-07,34003,Jul,444094.0,48848.0,444094.0
2004-08,34003,Aug,449093.0,49838.0,449093.0
2004-09,34003,Sep,453543.0,50921.0,453543.0
2004-10,34003,Oct,459403.0,53639.0,459403.0
2004-11,34003,Nov,465470.0,56759.0,465470.0
2004-12,34003,Dec,471005.0,59414.0,471005.0
2005-01,34003,Jan,475125.0,60333.0,475125.0
2005-02,34003,Feb,479679.0,61662.0,479679.0
2005-03,34003,Mar,484033.0,61420.0,484033.0
2005-04,34003,Apr,489752.0,63298.0,489752.0
2005-05,34003,May,495172.0,62955.0,495172.0
2005-06,34003,Jun,501641.0,63799.0,501641.0
2005-07,34003,Jul,507365.0,63271.0,507365.0
2005-08,34003,Aug,512506.0,63413.0,512506.0
2005-09,34003,Sep,517113.0,63570.0,517113.0
2005-10,34003,Oct,522218.0,62815.0,522218.0
2005-11,34003,Nov,527600.0,62130.0,527600.0
2005-12,34003,Dec,531285.0,60280.0,531285.0
2006-01,34003,Jan,534211.0,59086.0,534211.0
2006-02,34003,Feb,537769.0,58090.0,537769.0
2006-03,34003,Mar,542659.0,58626.0,542659.0
2006-04,34003,Apr,545728.0,55976.0,545728.0
2006-05,34003,May,547337.0,52165.0,547337.0
2006-06,34003,Jun,547710.0,46069.0,547710.0
2006-07,34003,Jul,548716.0,41351.0,548716.0
2006-08,34003,Aug,547119.0,34613.0,547119.0
2006-09,34003,Sep,545166.0,28053.0,545166.0
2006-10,34003,Oct,542041.0,19823.0,542041.0
2006-11,34003,Nov,539087.0,11487.0,539087.0
2006-12,34003,Dec,536211.0,4926.0,536211.0
2007-01,34003,Jan,532968.0,-1243.0,532968.0
2007-02,34003,Feb,532039.0,-5730.0,532039.0
2007-03,34003,Mar,532798.0,-9861.0,532798.0
2007-04,34003,Apr,535162.0,-10566.0,535162.0
2007-05,34003,May,537048.0,-10289.0,537048.0
2007-06,34003,Jun,536354.0,-11356.0,536354.0
2007-07,34003,Jul,533969.0,-14747.0,533969.0
2007-08,34003,Aug,530579.0,-16540.0,530579.0
2007-09,34003,Sep,527724.0,-17442.0,527724.0
2007-10,34003,Oct,525586.0,-16455.0,525586.0
