Year,FIPS,MedianIncome,AgeGroup,train_and_predicted
2005,34001,52040.0,25-44,
2006,34001,57582.0,25-44,
2007,34001,61533.0,25-44,
2008,34001,54092.0,25-44,
2009,34001,61628.0,25-44,
2010,34001,49904.0,25-44,
2011,34001,50104.0,25-44,
2012,34001,51046.0,25-44,
2013,34001,52766.0,25-44,
2014,34001,54343.0,25-44,
2015,34001,56660.0,25-44,
2016,34001,56332.0,25-44,
2017,34001,65295.0,25-44,
2018,34001,61793.0,25-44,
2019,34001,65106.0,25-44,
2020,34001,,25-44,64806.352802201036
2021,34001,,25-44,65173.14179072511
2022,34001,,25-44,65149.951360467014
2023,34001,,25-44,65190.85277207696
2024,34001,,25-44,65189.42584177168
2025,34001,,25-44,65194.020912119515
2026,34001,,25-44,65193.994199231754
2027,34001,,25-44,65194.51435920964
2028,34001,,25-44,65194.52661935825
2029,34001,,25-44,65194.58595047309
2005,34003,79122.0,25-44,
2006,34003,82115.0,25-44,
2007,34003,86144.0,25-44,
2008,34003,83599.0,25-44,
2009,34003,85638.0,25-44,
2010,34003,82334.0,25-44,
2011,34003,89101.0,25-44,
2012,34003,92210.0,25-44,
2013,34003,85633.0,25-44,
2014,34003,88932.0,25-44,
2015,34003,100285.0,25-44,
2016,34003,101172.0,25-44,
2017,34003,102075.0,25-44,
2018,34003,110642.0,25-44,
2019,34003,119900.0,25-44,
2020,34003,,25-44,127555.33821283007
2021,34003,,25-44,133885.94833471245
2022,34003,,25-44,140145.6619877989
2023,34003,,25-44,146405.37564088538
2024,34003,,25-44,152665.08929397186
2025,34003,,25-44,158924.80294705834
2026,34003,,25-44,165184.51660014482
2027,34003,,25-44,171444.2302532313
2028,34003,,25-44,177703.94390631779
2029,34003,,25-44,183963.65755940427
2005,34005,73330.0,25-44,
2006,34005,74635.0,25-44,
2007,34005,79618.0,25-44,
2008,34005,82097.0,25-44,
2009,34005,80760.0,25-44,
2010,34005,81854.0,25-44,
2011,34005,76333.0,25-44,
2012,34005,80872.0,25-44,
2013,34005,80302.0,25-44,
2014,34005,90286.0,25-44,
2015,34005,79978.0,25-44,
2016,34005,86881.0,25-44,
2017,34005,90978.0,25-44,
2018,34005,91465.0,25-44,
2019,34005,91000.0,25-44,
2020,34005,,25-44,91315.7718003894
2021,34005,,25-44,91044.96207766002
2022,34005,,25-44,91265.06899571624
2023,34005,,25-44,91077.22482666782
2024,34005,,25-44,91236.55493155036
2025,34005,,25-44,91100.10614691763
2026,34005,,25-44,91216.92917554356
2027,34005,,25-44,91116.71629877886
2028,34005,,25-44,91202.69298776235
2029,34005,,25-44,91128.90040753798
2005,34007,57357.0,25-44,
2006,34007,62593.0,25-44,
2007,34007,64064.0,25-44,
2008,34007,62450.0,25-44,
