Year,FIPS,MedianIncome,AgeGroup,train_and_predicted
2005,34001,52040.0,25-44,52040.0
2006,34001,57582.0,25-44,57582.0
2007,34001,61533.0,25-44,61533.0
2008,34001,54092.0,25-44,54092.0
2009,34001,61628.0,25-44,61628.0
2010,34001,49904.0,25-44,49904.0
2011,34001,50104.0,25-44,50104.0
2012,34001,51046.0,25-44,51046.0
2013,34001,52766.0,25-44,52766.0
2014,34001,54343.0,25-44,54343.0
2015,34001,56660.0,25-44,56660.0
2016,34001,56332.0,25-44,56332.0
2017,34001,65295.0,25-44,65295.0
2018,34001,61793.0,25-44,61793.0
2019,34001,65106.0,25-44,65106.0
2020,,,25-44,66938.65630952876
2021,,,25-44,68852.46245696927
2022,,,25-44,70736.06745274783
2023,,,25-44,72614.2326771309
2024,,,25-44,74513.1767496054
2025,,,25-44,
2005,34003,79122.0,25-44,79122.0
2006,34003,82115.0,25-44,82115.0
2007,34003,86144.0,25-44,86144.0
2008,34003,83599.0,25-44,83599.0
2009,34003,85638.0,25-44,85638.0
2010,34003,82334.0,25-44,82334.0
2011,34003,89101.0,25-44,89101.0
2012,34003,92210.0,25-44,92210.0
2013,34003,85633.0,25-44,85633.0
2014,34003,88932.0,25-44,88932.0
2015,34003,100285.0,25-44,100285.0
2016,34003,101172.0,25-44,101172.0
2017,34003,102075.0,25-44,102075.0
2018,34003,110642.0,25-44,110642.0
2019,34003,119900.0,25-44,119900.0
2020,,,25-44,122791.51629562423
2021,,,25-44,119151.5510153255
2022,,,25-44,118553.1888412228
2023,,,25-44,121761.6646427309
2024,,,25-44,
2025,,,25-44,
2005,34005,73330.0,25-44,73330.0
2006,34005,74635.0,25-44,74635.0
2007,34005,79618.0,25-44,79618.0
2008,34005,82097.0,25-44,82097.0
2009,34005,80760.0,25-44,80760.0
2010,34005,81854.0,25-44,81854.0
2011,34005,76333.0,25-44,76333.0
2012,34005,80872.0,25-44,80872.0
2013,34005,80302.0,25-44,80302.0
2014,34005,90286.0,25-44,90286.0
2015,34005,79978.0,25-44,79978.0
2016,34005,86881.0,25-44,86881.0
2017,34005,90978.0,25-44,90978.0
2018,34005,91465.0,25-44,91465.0
2019,34005,91000.0,25-44,91000.0
2020,,,25-44,91828.10404436945
2021,,,25-44,92656.2080887389
2022,,,25-44,93484.31213310835
2023,,,25-44,94312.4161774778
2024,,,25-44,95140.52022184726
2025,,,25-44,
2005,34007,57357.0,25-44,57357.0
2006,34007,62593.0,25-44,62593.0
2007,34007,64064.0,25-44,64064.0
2008,34007,62450.0,25-44,62450.0
2009,34007,68329.0,25-44,68329.0
2010,34007,59884.0,25-44,59884.0
2011,34007,63710.0,25-44,63710.0
2012,34007,62240.0,25-44,62240.0
2013,34007,60519.0,25-44,60519.0
2014,34007,65907.0,25-44,65907.0
2015,34007,68559.0,25-44,68559.0
2016,34007,73531.0,25-44,73531.0
2017,34007,68991.0,25-44,68991.0
2018,34007,70952.0,25-44,70952.0
2019,34007,78282.0,25-44,78282.0
2020,,,25-44,78244.07009627132
2021,,,25-44,78206.14019254263
2022,,,25-44,78168.21028881395
2023,,,25-44,78130.28038508527
2024,,,25-44,
2025,,,25-44,
2005,34009,62479.0,25-44,62479.0
2006,34009,58456.0,25-44,58456.0
2007,34009,52036.0,25-44,52036.0
2008,34009,62487.0,25-44,62487.0
2009,34009,59245.0,25-44,59245.0
2010,34009,76302.0,25-44,76302.0
2011,34009,51905.0,25-44,51905.0
2012,34009,55651.0,25-44,55651.0
2013,34009,71262.0,25-44,71262.0
2014,34009,57710.0,25-44,57710.0
2015,34009,71446.0,25-44,71446.0
2016,34009,70428.0,25-44,70428.0
2017,34009,70217.0,25-44,70217.0
2018,34009,61664.0,25-44,61664.0
2019,34009,80289.0,25-44,80289.0
2020,,,25-44,80212.01980930824
2021,,,25-44,80848.34762129733
2022,,,25-44,81095.94856576018
2023,,,25-44,81555.39148727761
2024,,,25-44,
2025,,,25-44,
2005,34011,52009.0,25-44,52009.0
2006,34011,50735.0,25-44,50735.0
2007,34011,48959.0,25-44,48959.0
2008,34011,52648.0,25-44,52648.0
2009,34011,55540.0,25-44,55540.0
2010,34011,54586.0,25-44,54586.0
2011,34011,53595.0,25-44,53595.0
2012,34011,51508.0,25-44,51508.0
2013,34011,47120.0,25-44,47120.0
2014,34011,44848.0,25-44,44848.0
2015,34011,55097.0,25-44,55097.0
2016,34011,46427.0,25-44,46427.0
2017,34011,51318.0,25-44,51318.0
2018,34011,56710.0,25-44,56710.0
2019,34011,51751.0,25-44,51751.0
2020,,,25-44,52059.8
2021,,,25-44,52368.600000000006
2022,,,25-44,52677.40000000001
2023,,,25-44,52986.20000000001
2024,,,25-44,53295.000000000015
2025,,,25-44,
2005,34013,52247.0,25-44,52247.0
2006,34013,51762.0,25-44,51762.0
2007,34013,56150.0,25-44,56150.0
2008,34013,58489.0,25-44,58489.0
2009,34013,56383.0,25-44,56383.0
2010,34013,51864.0,25-44,51864.0
2011,34013,51652.0,25-44,51652.0
2012,34013,49572.0,25-44,49572.0
2013,34013,51143.0,25-44,51143.0
2014,34013,55600.0,25-44,55600.0
2015,34013,51180.0,25-44,51180.0
2016,34013,51910.0,25-44,51910.0
2017,34013,60846.0,25-44,60846.0
2018,34013,62137.0,25-44,62137.0
2019,34013,64570.0,25-44,64570.0
2020,,,25-44,66765.03499596531
2021,,,25-44,67394.45409807822
2022,,,25-44,67209.07491143183
2023,,,25-44,67477.8956497896
2024,,,25-44,
2025,,,25-44,
2005,34015,72375.0,25-44,72375.0
2006,34015,75948.0,25-44,75948.0
2007,34015,79959.0,25-44,79959.0
2008,34015,77282.0,25-44,77282.0
2009,34015,77956.0,25-44,77956.0
2010,34015,81491.0,25-44,81491.0
2011,34015,79688.0,25-44,79688.0
2012,34015,82107.0,25-44,82107.0
2013,34015,76737.0,25-44,76737.0
2014,34015,93984.0,25-44,93984.0
2015,34015,88084.0,25-44,88084.0
2016,34015,93758.0,25-44,93758.0
2017,34015,101685.0,25-44,101685.0
2018,34015,99834.0,25-44,99834.0
2019,34015,101800.0,25-44,101800.0
2020,,,25-44,103611.74401024885
2021,,,25-44,100424.42881469073
2022,,,25-44,100962.95523569304
2023,,,25-44,98724.58000789718
2024,,,25-44,
2025,,,25-44,
2005,34017,52318.0,25-44,52318.0
2006,34017,57700.0,25-44,57700.0
2007,34017,64783.0,25-44,64783.0
2008,34017,69410.0,25-44,69410.0
2009,34017,72233.0,25-44,72233.0
2010,34017,67235.0,25-44,67235.0
2011,34017,71805.0,25-44,71805.0
2012,34017,76173.0,25-44,76173.0
2013,34017,71400.0,25-44,71400.0
2014,34017,75465.0,25-44,75465.0
2015,34017,78336.0,25-44,78336.0
2016,34017,81195.0,25-44,81195.0
2017,34017,89230.0,25-44,89230.0
2018,34017,93203.0,25-44,93203.0
2019,34017,99357.0,25-44,99357.0
2020,,,25-44,96567.27667814099
2021,,,25-44,99467.77669167296
2022,,,25-44,101312.62749599612
2023,,,25-44,103987.89753422249
2024,,,25-44,111002.9905521879
2025,,,25-44,
2005,34019,102273.0,25-44,102273.0
2006,34019,94683.0,25-44,94683.0
2007,34019,106598.0,25-44,106598.0
2008,34019,107320.0,25-44,107320.0
2009,34019,111393.0,25-44,111393.0
2010,34019,104619.0,25-44,104619.0
2011,34019,105958.0,25-44,105958.0
2012,34019,110941.0,25-44,110941.0
2013,34019,114950.0,25-44,114950.0
2014,34019,112092.0,25-44,112092.0
2015,34019,100530.0,25-44,100530.0
2016,34019,117639.0,25-44,117639.0
2017,34019,111589.0,25-44,111589.0
2018,34019,113920.0,25-44,113920.0
2019,34019,119555.0,25-44,119555.0
2020,,,25-44,143289.30302955033
2021,,,25-44,120204.5222292251
2022,,,25-44,133798.7419848327
2023,,,25-44,105742.78706279866
2024,,,25-44,
2025,,,25-44,
2005,34021,68182.0,25-44,68182.0
2006,34021,71499.0,25-44,71499.0
2007,34021,78469.0,25-44,78469.0
2008,34021,78299.0,25-44,78299.0
2009,34021,73160.0,25-44,73160.0
2010,34021,78027.0,25-44,78027.0
2011,34021,74463.0,25-44,74463.0
2012,34021,66932.0,25-44,66932.0
2013,34021,71401.0,25-44,71401.0
2014,34021,69078.0,25-44,69078.0
2015,34021,71129.0,25-44,71129.0
2016,34021,80432.0,25-44,80432.0
2017,34021,77219.0,25-44,77219.0
2018,34021,81893.0,25-44,81893.0
2019,34021,81632.0,25-44,81632.0
2020,,,25-44,82297.86423197108
2021,,,25-44,83530.50861468319
2022,,,25-44,79528.99714980091
2023,,,25-44,89089.65204427861
2024,,,25-44,92361.54668893931
2025,,,25-44,
2005,34023,75025.0,25-44,75025.0
2006,34023,80721.0,25-44,80721.0
2007,34023,82232.0,25-44,82232.0
2008,34023,83958.0,25-44,83958.0
2009,34023,88272.0,25-44,88272.0
2010,34023,82012.0,25-44,82012.0
2011,34023,81308.0,25-44,81308.0
2012,34023,84839.0,25-44,84839.0
2013,34023,85006.0,25-44,85006.0
2014,34023,86750.0,25-44,86750.0
2015,34023,82161.0,25-44,82161.0
2016,34023,90660.0,25-44,90660.0
2017,34023,97703.0,25-44,97703.0
2018,34023,98290.0,25-44,98290.0
2019,34023,101357.0,25-44,101357.0
2020,,,25-44,103170.50812328169
2021,,,25-44,91978.3051428772
2022,,,25-44,96971.05713153696
2023,,,25-44,99310.45716209317
2024,,,25-44,
2025,,,25-44,
2005,34025,81328.0,25-44,81328.0
2006,34025,85445.0,25-44,85445.0
2007,34025,83320.0,25-44,83320.0
2008,34025,90230.0,25-44,90230.0
2009,34025,82044.0,25-44,82044.0
2010,34025,91035.0,25-44,91035.0
2011,34025,85810.0,25-44,85810.0
2012,34025,83829.0,25-44,83829.0
2013,34025,84028.0,25-44,84028.0
2014,34025,92233.0,25-44,92233.0
2015,34025,91449.0,25-44,91449.0
2016,34025,100397.0,25-44,100397.0
2017,34025,104832.0,25-44,104832.0
2018,34025,111883.0,25-44,111883.0
2019,34025,114190.0,25-44,114190.0
2020,,,25-44,114503.2647025586
2021,,,25-44,114378.45169614462
2022,,,25-44,114455.00753554491
2023,,,25-44,114448.69908712026
2024,,,25-44,
2025,,,25-44,
2005,34027,91722.0,25-44,91722.0
